customer_id,country,region,credit_limit
CUST00001,US,CA,50000.00
CUST00002,US,CA,55000.00
CUST00003,US,CA,52000.00
CUST00004,US,NY,75000.00
CUST00005,US,NY,78000.00
CUST00006,US,NY,72000.00
CUST00007,US,TX,45000.00
CUST00008,US,TX,48000.00
CUST00009,US,TX,42000.00
CUST00010,US,FL,60000.00
CUST00011,US,FL,62000.00
CUST00012,US,FL,58000.00
CUST00013,US,WA,55000.00
CUST00014,US,WA,57000.00
CUST00015,US,WA,53000.00
CUST00016,US,IL,65000.00
CUST00017,US,IL,67000.00
CUST00018,US,IL,63000.00
CUST00019,US,PA,48000.00
CUST00020,US,PA,50000.00
CUST00021,US,PA,46000.00
CUST00022,US,OH,52000.00
CUST00023,US,OH,54000.00
CUST00024,US,OH,50000.00
CUST00025,US,GA,70000.00
CUST00026,US,GA,72000.00
CUST00027,US,GA,68000.00
CUST00028,US,NC,58000.00
CUST00029,US,NC,60000.00
CUST00030,US,NC,56000.00
CUST00031,US,MI,52000.00
CUST00032,US,MI,54000.00
CUST00033,US,MI,50000.00
CUST00034,US,CO,48000.00
CUST00035,US,CO,50000.00
CUST00036,US,CO,46000.00
CUST00037,US,AZ,56000.00
CUST00038,US,AZ,58000.00
CUST00039,US,AZ,54000.00
CUST00040,US,VA,61000.00
CUST00041,US,VA,63000.00
CUST00042,US,VA,59000.00
CUST00043,US,MA,72000.00
CUST00044,US,MA,74000.00
CUST00045,US,MA,70000.00
CUST00046,US,MN,59000.00
CUST00047,US,MN,61000.00
CUST00048,US,MN,57000.00
CUST00049,US,NV,64000.00
CUST00050,US,NV,66000.00
CUST00051,US,NV,62000.00
CUST00052,US,OR,51000.00
CUST00053,US,OR,53000.00
CUST00054,US,OR,49000.00
CUST00055,US,UT,58000.00
CUST00056,US,UT,60000.00
CUST00057,US,UT,56000.00
CUST00058,US,NM,45000.00
CUST00059,US,NM,47000.00
CUST00060,US,NM,43000.00
CUST00061,Germany,Bavaria,80000.00
CUST00062,Germany,Bavaria,82000.00
CUST00063,Germany,Bavaria,78000.00
CUST00064,Germany,Berlin,85000.00
CUST00065,Germany,Berlin,87000.00
CUST00066,Germany,Berlin,83000.00
CUST00067,Germany,NRW,75000.00
CUST00068,Germany,NRW,77000.00
CUST00069,Germany,NRW,73000.00
CUST00070,Germany,Hamburg,76000.00
CUST00071,Germany,Hamburg,78000.00
CUST00072,Germany,Hamburg,74000.00
CUST00073,Germany,Hesse,81000.00
CUST00074,Germany,Hesse,83000.00
CUST00075,Germany,Hesse,79000.00
CUST00076,Germany,Baden-Wurttemberg,88000.00
CUST00077,Germany,Baden-Wurttemberg,90000.00
CUST00078,Germany,Baden-Wurttemberg,86000.00
