order_id,customer_id,item_code,quantity,unit_price,weight_per_item,order_date,status,discount_code
ORD1,CUST00001,ITEM-A001,5,150.00,2.5,2024-01-30,CONFIRMED,
ORD2,CUST00002,ITEM-B002,10,200.00,1.2,2024-01-03,CONFIRMED,DISC10
ORD3,CUST00003,ITEM-C003,3,500.00,5.0,2023-12-31,CONFIRMED,DISC20
ORD4,CUST00004,ITEM-A001,2,150.00,2.5,2024-01-12,PENDING,
ORD5,CUST00005,ITEM-D004,8,75.00,0.8,2024-01-09,CONFIRMED,DISC10
ORD6,CUST00006,ITEM-E005,15,100.00,1.5,2024-01-09,CONFIRMED,DISC15
ORD7,CUST00007,ITEM-F006,4,300.00,3.2,2024-01-06,CONFIRMED,
ORD8,CUST00008,ITEM-B002,6,200.00,1.2,2024-01-03,PENDING,DISC10
ORD9,CUST00009,ITEM-G007,12,85.00,0.9,2024-01-30,CONFIRMED,DISC20
ORD10,CUST00010,ITEM-H008,7,250.00,2.1,2024-01-24,CONFIRMED,
ORD11,CUST00011,ITEM-A001,20,150.00,2.5,2024-01-03,CONFIRMED,DISC10
ORD12,CUST00012,ITEM-C003,1,500.00,5.0,2024-01-27,CONFIRMED,DISC15
ORD13,CUST00013,ITEM-J009,9,120.00,1.3,2024-01-18,PENDING,
ORD14,CUST00014,ITEM-K010,5,400.00,3.0,2023-12-31,CONFIRMED,DISC20
ORD15,CUST00015,ITEM-L011,11,95.00,1.0,2023-12-31,CONFIRMED,DISC10
ORD16,CUST00016,ITEM-M012,3,600.00,4.5,2024-01-03,CONFIRMED,
ORD17,CUST00017,ITEM-N013,14,60.00,0.7,2024-01-09,PENDING,DISC10
ORD18,CUST00018,ITEM-O014,8,180.00,2.2,2024-01-09,CONFIRMED,
ORD19,CUST00019,ITEM-P015,6,220.00,2.8,2024-01-24,CONFIRMED,DISC20
ORD20,CUST00020,ITEM-Q016,4,350.00,3.5,2024-01-27,CONFIRMED,DISC15
ORD21,CUST00021,ITEM-R017,10,130.00,1.4,2023-12-31,CONFIRMED,DISC10
ORD22,CUST00022,ITEM-S018,7,190.00,2.0,2024-01-24,PENDING,
ORD23,CUST00023,ITEM-T019,12,160.00,1.8,2024-01-09,CONFIRMED,DISC20
ORD24,CUST00024,ITEM-U020,5,280.00,2.6,2024-01-30,CONFIRMED,
ORD25,CUST00025,ITEM-V021,3,450.00,3.8,2024-01-24,CONFIRMED,DISC10
ORD26,CUST00026,ITEM-W022,9,170.00,1.9,2024-01-18,PENDING,DISC15
ORD27,CUST00027,ITEM-X023,6,320.00,2.9,2024-01-09,CONFIRMED,
ORD28,CUST00028,ITEM-Y024,11,140.00,1.6,2024-01-21,CONFIRMED,DISC20
ORD29,CUST00029,ITEM-Z025,4,210.00,2.4,2024-01-27,CONFIRMED,DISC10
ORD30,CUST00030,ITEM-AA026,8,175.00,2.1,2024-01-12,PENDING,
ORD31,CUST00031,ITEM-BB027,13,110.00,1.2,2023-12-31,CONFIRMED,DISC15
ORD32,CUST00032,ITEM-CC028,2,550.00,4.8,2024-01-06,CONFIRMED,
ORD33,CUST00033,ITEM-DD029,10,125.00,1.5,2024-01-18,PENDING,DISC20
ORD34,CUST00034,ITEM-EE030,5,360.00,3.2,2024-01-15,CONFIRMED,DISC10
ORD35,CUST00035,ITEM-FF031,7,240.00,2.5,2024-01-12,CONFIRMED,
ORD36,CUST00036,ITEM-GG032,14,95.00,1.1,2024-01-06,CONFIRMED,DISC10
ORD37,CUST00037,ITEM-HH033,6,290.00,2.7,2024-01-09,PENDING,DISC15
ORD38,CUST00038,ITEM-II034,4,420.00,3.6,2024-01-15,CONFIRMED,
ORD39,CUST00039,ITEM-JJ035,9,155.00,1.7,2024-01-03,CONFIRMED,DISC20
ORD40,CUST00040,ITEM-KK036,3,480.00,4.2,2024-01-03,CONFIRMED,DISC10
ORD41,CUST00001,ITEM-LL037,12,88.00,1.0,2024-01-18,PENDING,
ORD42,CUST00002,ITEM-MM038,8,265.00,2.3,2024-01-03,CONFIRMED,DISC15
ORD43,CUST00003,ITEM-NN039,5,310.00,2.8,2024-01-15,CONFIRMED,
ORD44,CUST00004,ITEM-OO040,11,145.00,1.6,2024-01-15,PENDING,DISC10
ORD45,CUST00005,ITEM-PP041,7,195.00,2.1,2024-01-27,CONFIRMED,DISC20
ORD46,CUST00006,ITEM-QQ042,4,370.00,3.3,2024-01-12,CONFIRMED,
ORD47,CUST00007,ITEM-RR043,10,115.00,1.3,2023-12-31,CONFIRMED,DISC15
ORD48,CUST00008,ITEM-SS044,6,255.00,2.4,2024-01-21,PENDING,DISC10
ORD49,CUST00009,ITEM-TT045,9,175.00,1.9,2024-01-24,CONFIRMED,
ORD50,CUST00010,ITEM-UU046,3,520.00,4.6,2024-01-03,CONFIRMED,DISC20
ORD51,CUST00011,ITEM-VV047,13,105.00,1.2,2024-01-18,CONFIRMED,DISC10
ORD52,CUST00012,ITEM-WW048,5,295.00,2.6,2024-01-03,PENDING,
ORD53,CUST00013,ITEM-XX049,8,165.00,1.8,2024-01-24,CONFIRMED,DISC15
ORD54,CUST00014,ITEM-YY050,4,410.00,3.5,2024-01-12,CONFIRMED,DISC10
ORD55,CUST00015,ITEM-ZZ051,11,135.00,1.5,2024-01-30,CONFIRMED,DISC20
ORD56,CUST00016,ITEM-AAA052,6,270.00,2.5,2024-01-27,PENDING,
